first_name,last_name,date_of_birth,above_18,Membership_ID
Willie,Richard,20020506,True,Richard_fd66d
Bryan,RobertsJr,19930108,True,RobertsJr_ed31f
Jeanette,GarciaJr,19870915,True,GarciaJr_0cd56
Amy,GutierrezMD,19720224,True,GutierrezMD_0ce90
Donna,Gray,20020927,True,Gray_b0dec
Annette,Garcia,19920206,True,Garcia_b0aa6
Kyle,Pacheco,19940730,True,Pacheco_5acc9
Miss,CrystalJohnson,20020320,True,CrystalJohnson_90d4a
Christine,Cooley,19840906,True,Cooley_f3ddd
Erik,Johns,19970724,True,Johns_66302
Vanessa,Hunter,20041221,True,Hunter_c9210
Marissa,Torres,20050624,True,Torres_d2731
Brian,DouglasDVM,19770308,True,DouglasDVM_e7418
Daniel,CurtisJr,19920118,True,CurtisJr_cd293
Melissa,JohnsonDDS,19870531,True,JohnsonDDS_f3ff4
Felicia,JonesPhD,19701011,True,JonesPhD_2717e
Ryan,FordJr,19881210,True,FordJr_5a0c0
Maurice,Gonzalez,19910320,True,Gonzalez_dfda1
Dean,MullenII,19760617,True,MullenII_10d9c
Miss,JenniferGibson,19931116,True,JenniferGibson_00376
Diana,Chan,19891008,True,Chan_1dd69
Samantha,KirkDVM,19800518,True,KirkDVM_44e2e
Brandy,Green,19921119,True,Green_00181
Kevin,Hunter,20030622,True,Hunter_c186d
Jessica,NovakJr,19810109,True,NovakJr_64192
Alexander,Guerra,19710131,True,Guerra_26e98
John,Clark,20011110,True,Clark_e5604
Cynthia,GreenPhD,19751020,True,GreenPhD_c96b7
Sherry,ShawMD,19920727,True,ShawMD_4ebc5
Matthew,Martin,19931128,True,Martin_2e2f5
Christine,Hays,19921111,True,Hays_66073
Jessica,BrownDVM,19711116,True,BrownDVM_38025
Christine,Rice,19730314,True,Rice_345f8
Katherine,BrownDDS,19790901,True,BrownDDS_8bc4d
Stephanie,SmithIII,19880321,True,SmithIII_1f441
Michael,Gentry,20040123,True,Gentry_6f4b0
Patricia,Olson,19740518,True,Olson_85ed9
Matthew,Hartman,19961005,True,Hartman_ea169
Dylan,Hood,19750817,True,Hood_f6bc6
Barbara,Mathis,19720304,True,Mathis_8cf50
Benjamin,RossDVM,19971216,True,RossDVM_024d9
Miss,AnthonyHeathMD,19811029,True,AnthonyHeathMD_e477d
Mathew,Robinson,19900915,True,Robinson_1a28d
Christian,Yates,19950512,True,Yates_a22eb
Sandra,Christian,19891124,True,Christian_852c2
Tom,Brooks,20010603,True,Brooks_9a87f
Danielle,NelsonJr,19820108,True,NelsonJr_3d489
Tonya,PriceII,19751231,True,PriceII_071ae
Annette,George,20020913,True,George_90927
Dale,Haynes,19890423,True,Haynes_cf190
Jose,Mckinney,19940114,True,Mckinney_18c16
Jonathan,Weiss,19710323,True,Weiss_94269
Nathaniel,BrownJr,19890416,True,BrownJr_32741
Alexander,MorseII,20030801,True,MorseII_c7640
Yolanda,GreenPhD,19870520,True,GreenPhD_4fdab
Ann,JonesDVM,19901115,True,JonesDVM_f76b5
Patricia,Crawford,19790703,True,Crawford_a655d
Morgan,Reilly,19840101,True,Reilly_ab6d3
Danielle,Weber,19791023,True,Weber_0f2cc
